,follower_id,influencer_id,himself_id
0,2867,3829.0,187478
1,7230,28166.0,187478
2,21009,38490.0,187478
3,43520,59156.0,187478
4,44994,66915.0,187478
5,45475,76881.0,187478
6,50034,81194.0,187478
7,75308,90803.0,187478
8,80780,119651.0,187478
9,81619,120521.0,187478
10,84814,129547.0,187478
11,89021,144458.0,187478
12,96679,176936.0,187478
13,96744,186734.0,187478
14,113082,196248.0,187478
15,118243,238495.0,187478
16,146544,276085.0,187478
17,167517,486775.0,187478
18,170369,608701.0,187478
19,188261,611102.0,187478
20,200074,617844.0,187478
21,202162,636106.0,187478
22,260206,769616.0,187478
23,268700,815039.0,187478
24,293448,819894.0,187478
25,320845,894956.0,187478
26,347639,942529.0,187478
27,391933,959770.0,187478
28,467853,,187478
29,588508,,187478
30,625739,,187478
31,633078,,187478
32,687561,,187478
33,690254,,187478
34,749970,,187478
35,805785,,187478
36,808214,,187478
37,812388,,187478
38,830425,,187478
39,831236,,187478
40,831381,,187478
41,888262,,187478
42,891264,,187478
43,923384,,187478
44,933568,,187478
45,1390230,,187478
